mem_mode,n,blocks,threads,K1_global,K2_global,mean_ms_K1_global,mean_ms_K2_global,K1_shared,K2_shared,mean_ms_K1_shared,mean_ms_K2_shared,h2d_ms
global,100,1,32,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,1,64,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,1,128,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,1,256,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,1,512,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,1,1024,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,10,32,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,10,64,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,10,128,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,10,256,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,10,512,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,10,1024,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,100,32,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,100,64,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,100,128,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,100,256,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,100,512,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,100,1024,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,1000,32,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,1000,64,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,1000,128,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,1000,256,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,1000,512,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,1000,1024,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,10000,32,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,10000,64,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,10000,128,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,10000,256,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,10000,512,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,100,10000,1024,123.0,122.0,0.0000,0.0000,123.0,122.0,0.0000,0.0000,0.0000
global,1000,1,32,246.5,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,1,64,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,1,128,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,1,256,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,1,512,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,1,1024,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,10,32,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,10,64,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,10,128,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,10,256,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,10,512,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,10,1024,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,100,32,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,100,64,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,100,128,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,100,256,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,100,512,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,100,1024,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,1000,32,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,1000,64,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,1000,128,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,1000,256,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
